Liquefied?,Vertical effective Stress (kPa),Site amax (g),Magnitude,Fines content (%),CPT qc (MPa)
Yes,27,0.25,7.6,5,4.5
No,78,0.2,7.6,2,14.18
Yes,48,0.18,7.6,5,3.3
No,86,0.16,7.6,2,6.6
Yes,38,0.12,7.6,75,1.8
Yes,20,0.12,7.6,75,1.38
Yes,38,0.12,7.6,75,0.97
Yes,41.2,0.4,7.8,13,1.67
Yes,67.7,0.4,7.8,13,9.22
Yes,83.4,0.4,7.8,13,5.59
Yes,90.2,0.4,7.8,13,7.45
Yes,16.7,0.4,7.8,13,1.47
Yes,20.6,0.4,7.8,13,0.98
Yes,24.5,0.4,7.8,13,4.9
Yes,33.3,0.4,7.8,13,2.45
Yes,42.2,0.4,7.8,13,2.55
Yes,51,0.4,7.8,13,3.14
Yes,56.9,0.4,7.8,13,5.69
Yes,72.6,0.4,7.8,13,3.43
Yes,100,0.4,7.8,13,8.24
Yes,28.4,0.4,7.8,13,1.67
Yes,28.4,0.4,7.8,13,3.43
Yes,34.3,0.4,7.8,13,4.02
Yes,26.5,0.4,7.8,13,5.39
Yes,39.2,0.4,7.8,13,8.83
Yes,20.6,0.4,7.8,13,6.86
Yes,25.5,0.4,7.8,13,1.16
Yes,32.4,0.4,7.8,13,4.16
No,69.6,0.4,7.8,13,11.25
No,108.9,0.4,7.8,13,15.46
No,54.9,0.2,7.8,13,11.17
No,63.7,0.2,7.8,13,11.89
No,73.5,0.2,7.8,13,17.42
Yes,76.5,0.2,7.8,13,1.62
Yes,81.4,0.2,7.8,13,3.58
Yes,24.5,0.2,7.8,13,1.01
Yes,36.3,0.2,7.8,13,4.9
Yes,46.1,0.2,7.8,13,2.85
Yes,59.8,0.2,7.8,13,5.94
No,21.6,0.2,7.8,13,12.98
No,25.5,0.2,7.8,13,12.81
No,29.4,0.2,7.8,13,16.27
No,57.9,0.2,7.8,13,10.39
No,59.8,0.2,7.8,13,8.94
No,65.7,0.2,7.8,13,11.07
Yes,40.2,0.2,7.8,13,1.9
Yes,43.1,0.2,7.8,13,4.9
Yes,46.1,0.2,7.8,13,2.2
Yes,48.1,0.2,7.8,13,2.6
Yes,34.3,0.2,7.8,13,4.31
Yes,38.2,0.2,7.8,13,2.94
Yes,79.4,0.2,7.8,13,8.83
Yes,53.9,0.1,7.8,13,1.96
Yes,51,0.2,7.8,13,1.08
No,103.9,0.1,7.8,13,15.2
No,107.9,0.1,7.8,13,6.37
No,52,0.1,7.8,13,8.83
No,56.9,0.1,7.8,13,2.45
No,61.8,0.1,7.8,13,16.18
No,66.7,0.1,7.8,13,13.39
No,77.5,0.1,7.8,13,13.85
No,100,0.1,7.8,13,18.57
Yes,43.1,0.2,7.8,13,3.45
Yes,50,0.2,7.8,13,2.68
Yes,49,0.2,7.8,13,3.23
Yes,51,0.2,7.8,13,4.04
Yes,55.9,0.2,7.8,13,2.88
Yes,51,0.2,7.8,13,2.94
Yes,66.7,0.2,7.8,13,5.74
Yes,77.6,0.2,7.8,13,8.83
Yes,47.1,0.2,7.8,13,1.84
Yes,62.8,0.2,7.8,13,2.5
Yes,63.7,0.2,7.8,13,4.41
Yes,77.5,0.2,7.8,13,4.16
No,75.5,0.2,7.8,13,7.85
No,57.2,0.2,7.8,13,8.31
No,110.6,0.2,7.8,13,4.46
No,120.4,0.2,7.8,13,5.68
Yes,54.3,0.2,7.8,13,2.43
Yes,55.3,0.2,7.8,13,1.54
Yes,101.8,0.2,7.8,13,1.42
Yes,104.6,0.2,7.8,13,2.11
Yes,109.7,0.2,7.8,13,2.55
Yes,101.8,0.2,7.8,13,2.68
Yes,104.6,0.2,7.8,13,1.75
No,106.5,0.2,7.8,13,7.49
Yes,73.07,0.64,7.5,8.7,5.86
Yes,80.84,0.53,7.5,9.5,4.09
No,61.11,0.64,7.5,9.6,5.6
No,40.99,0.64,7.5,8.09,10.41
No,65.54,0.64,7.5,9.83,10.18
